day,sum_total_reward,sum_reward
2018-03-13,6681.34639197,7349629.72901831
2018-03-14,5487.77693103,7355117.50594934
2018-03-15,6571.60917306,7361689.11512240
2018-03-16,6445.12683190,7368134.24195430
2018-03-17,6235.81283464,7374370.05478894
2018-03-18,6152.95937740,7380523.01416634
2018-03-19,6061.38450358,7386584.39866992
2018-03-20,6161.68079396,7392746.07946388
2018-03-21,6323.02700018,7399069.10646406
2018-03-22,6527.98028912,7405597.08675318
2018-03-23,5799.74200704,7411396.82876022
2018-03-24,6179.12362704,7417575.95238726
2018-03-25,6214.00929328,7423789.96168054
2018-03-26,6623.91587120,7430413.87755174
2018-03-27,6235.81283462,7436649.69038636
2018-03-28,5804.10271526,7442453.79310162
2018-03-29,5930.56325524,7448384.35635686
2018-03-30,6728.57286972,7455112.92922658
2018-03-31,6558.50524696,7461671.43447354
2018-04-01,5415.99967874,7467087.43415228
2018-04-02,6414.60187394,7473502.03602622
2018-04-03,6523.61958086,7480025.65560708
2018-04-04,6440.76612360,7486466.42173068
2018-04-05,6605.93334464,7493072.35507532
2018-04-06,4874.49469375,7497946.84976907
2018-04-07,6847.60724912,7504794.45701819
2018-04-08,6709.44619492,7511503.90321311
2018-04-09,6083.40391804,7517587.30713115
2018-04-10,5284.66032342,7522871.96745457
2018-04-11,7236.18521409,7530108.15266866
2018-04-12,5608.47529423,7535716.62796289
2018-04-13,6666.27086545,7542382.89882834
2018-04-14,6264.74030172,7548647.63913006
2018-04-15,6018.64092389,7554666.28005395
2018-04-16,5448.72657531,7560115.00662926
2018-04-17,7093.70662695,7567208.71325621
2018-04-18,4934.94015495,7572143.65341116
2018-04-19,6035.91105567,7578179.56446683
2018-04-20,6800.11438674,7584979.67885357
2018-04-21,6459.02928418,7591438.70813775
2018-04-22,6329.50329584,7597768.21143359
2018-04-23,5690.50842014,7603458.71985373
2018-04-24,6277.69290049,7609736.41275422
2018-04-25,6718.08126081,7616454.49401503
2018-04-26,5332.68753332,7621787.18154835
2018-04-27,7079.04410230,7628866.22565065
2018-04-28,6078.74439222,7634944.97004287
2018-04-29,6219.81230009,7641164.78234296
2018-04-30,5634.16674332,7646798.94908628
2018-05-01,6301.03321668,7653099.98230296
2018-05-02,6305.30800183,7659405.29030479
2018-05-03,6407.90284385,7665813.19314864
2018-05-04,5711.11287486,7671524.30602350
2018-05-05,6702.86301480,7678227.16903830
2018-05-06,6057.37046683,7684284.53950513
2018-05-07,6497.67333070,7690782.21283583
2018-05-08,5817.98250199,7696600.19533782
2018-05-09,6215.53751502,7702815.73285284
2018-05-10,7032.02146643,7709847.75431927
2018-05-11,6078.74439228,7715926.49871155
2018-05-12,5676.91459414,7721603.41330569
2018-05-13,6369.42977810,7727972.84308379
2018-05-14,6407.90284389,7734380.74592768
2018-05-15,6112.94267294,7740493.68860062
2018-05-16,6369.42977808,7746863.11837870
2018-05-17,6430.14442395,7753293.26280265
2018-05-18,6132.83523838,7759426.09804103
2018-05-19,6082.04571259,7765508.14375362
2018-05-20,6060.88341013,7771569.02716375
2018-05-21,5853.49284656,7777422.52001031
2018-05-22,5675.72950631,7783098.24951662
2018-05-23,7000.48963718,7790098.73915380
2018-05-24,6268.27397373,7796367.01312753
2018-05-25,6331.76088101,7802698.77400854
2018-05-26,6018.55880534,7808717.33281388
2018-05-27,6086.27817303,7814803.61098691
2018-05-28,6467.19961640,7821270.81060331
2018-05-29,6209.01952702,7827479.83013033
2018-05-30,5823.86562316,7833303.69575349
2018-05-31,6153.99754074,7839457.69329423
2018-06-01,6251.34413185,7845709.03742608
2018-06-02,6835.42367836,7852544.46110444
2018-06-03,5806.93578120,7858351.39688564
2018-06-04,6158.23000123,7864509.62688687
2018-06-05,5565.68553383,7870075.31242070
2018-06-06,6403.71270918,7876479.02512988
2018-06-07,6071.50646933,7882550.53159921
2018-06-08,6604.31458224,7889154.84618145
2018-06-09,6051.16133042,7895206.00751187
2018-06-10,5753.63192981,7900959.63944168
2018-06-11,5984.11245140,7906943.75189308
2018-06-12,6524.69403831,7913468.44593139
2018-06-13,5866.77691302,7919335.22284441
2018-06-14,5954.77856687,7925290.00141128
2018-06-15,6063.73299525,7931353.73440653
2018-06-16,6231.35519277,7937585.08959930
2018-06-17,6671.36346122,7944256.45306052
2018-06-18,4894.56816752,7949151.02122804
2018-06-19,6554.02792298,7955705.04915102
2018-06-20,6046.97077551,7961752.01992653
2018-06-21,5875.15802300,7967627.17794953
2018-06-22,6805.46121926,7974432.63916879
2018-06-23,5816.49025388,7980249.12942267
2018-06-24,5359.71976563,7985608.84918830
2018-06-25,6235.54574770,7991844.39493600
2018-06-26,6294.21351678,7998138.60845278
2018-06-27,6713.26901058,8004851.87746336
2018-06-28,5398.74171202,8010250.61917538
2018-06-29,6572.11782900,8016822.73700438
2018-06-30,5343.99480034,8022166.73180472
2018-07-01,5854.32970753,8028021.06151225
2018-07-02,6269.23613611,8034290.29764836
2018-07-03,5667.62181464,8039957.91946300
2018-07-04,6476.68935039,8046434.60881339
2018-07-05,5796.24280751,8052230.85162090
2018-07-06,5904.11847897,8058134.97009987
2018-07-07,6252.63987897,8064387.60997884
2018-07-08,5252.71538604,8069640.32536488
2018-07-09,6368.81367899,8076009.13904387
2018-07-10,5846.03157895,8081855.17062282
2018-07-11,5841.88251462,8087697.05313744
2018-07-12,6028.59040751,8093725.64354495
2018-07-13,6119.86982181,8099845.51336676
